priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,119,1,serious,2,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,124,1,serious,3,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,144,1,serious,4,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,146,1,serious,5,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,412,1,death,1,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,627,1,serious,2,Review this page first; keyword density suggests possible relevant variable entries.,No
13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Wave I to Wave III,Medium,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,666,1,serious,3,Review this page first; keyword density suggests possible relevant variable entries.,No
14,Perceived benefits,BEP1-BEP4,Health Belief Model,Benefits of condom use or prevention,Wave I to Wave III,High,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,406,1,abstain,1,Review this page first; keyword density suggests possible relevant variable entries.,No
14,Perceived benefits,BEP1-BEP4,Health Belief Model,Benefits of condom use or prevention,Wave I to Wave III,High,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,614,1,abstain,2,Review this page first; keyword density suggests possible relevant variable entries.,No
15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Wave I to Wave III,High,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,72,1,access,1,Review this page first; keyword density suggests possible relevant variable entries.,No
